"listing_id","property_id","seller_id","agent_id","listing_date","expiry_date","list_price","status","notes"
1,1,14,3,"2025-11-20","2026-02-18","16495000.00","Active","Luxury villa"
2,2,27,9,"2025-08-14","2025-11-12","875000.00","Active","Waterfront apartment"
3,3,6,1,"2025-11-25","2026-02-23","523900.00","Active","Renovated unit"
4,4,32,5,"2025-12-12","2026-03-12","515000.00","Sold","Historic building"
5,5,41,11,"2025-09-17","2025-12-16","525000.00","Active","Quiet neighborhood"
6,6,9,2,"2025-10-31","2026-01-29","10000000.00","Active","Exclusive listing"
7,7,18,7,"2025-11-16","2026-02-14","1298000.00","Sold","Family home"
8,8,45,4,"2025-11-09","2026-02-07","535000.00","Active","City apartment"
9,9,23,10,"2025-11-14","2026-02-12","1579000.00","Active","Spacious interior"
10,10,3,6,"2025-08-18","2025-11-16","1168000.00","Active","Central location"
11,11,37,12,"2025-09-04","2025-12-03","3195000.00","Active","Premium residence"
12,12,21,8,"2024-09-12","2024-12-11","3253300.00","Sold","Historic luxury"
13,13,49,13,"2025-11-17","2026-02-15","2850000.00","Active","Large villa"
14,14,11,2,"2025-11-18","2026-02-16","850000.00","Active","Investment unit"
15,15,28,9,"2025-07-02","2025-09-30","939000.00","Sold","Downtown condo"
16,16,7,5,"2025-11-07","2026-02-05","1229000.00","Active","Modern building"
17,17,35,1,"2025-10-28","2026-01-26","1099000.00","Active","Recently updated"
18,18,2,4,"2025-11-21","2026-02-19","1099000.00","Sold","Good layout"
19,19,44,6,"2025-09-30","2025-12-29","1050000.00","Active","High demand area"
20,20,16,11,"2025-11-11","2026-02-09","1200000.00","Active","Close to metro"
21,21,30,8,"2025-11-15","2026-02-13","2495000.00","Sold","River view"
22,22,12,3,"2025-11-11","2026-02-09","3850000.00","Active","Prime location"
23,23,50,7,"2025-06-16","2025-09-14","17020500.00","Active","Iconic property"
24,24,5,10,"2025-12-13","2026-03-13","987000.00","Active","New listing"
25,25,39,13,"2025-10-06","2026-01-04","59999999.00","Active","Ultra luxury"
26,26,8,1,"2005-12-09","2006-03-09","305000.00","Active","Long-term sale"
27,27,20,4,"2005-12-06","2006-03-06","260000.00","Active","Classic unit"
28,28,34,9,"2025-12-03","2026-03-03","643000.00","Active","Renovated flat"
29,29,17,6,"2025-12-12","2026-03-12","175000.00","Active","Budget friendly"
30,30,26,2,"2025-09-24","2025-12-23","1390000.00","Active","Spacious home"
31,31,42,11,"2025-10-12","2026-01-10","810000.00","Active","Popular area"
32,32,10,5,"2025-11-22","2026-02-20","465000.00","Active","Urban living"
33,33,46,8,"2025-01-07","2025-04-07","788000.00","Active","Early listing"
34,34,4,12,"2025-04-12","2025-07-11","2115000.00","Active","High-end unit"
35,35,19,7,"2025-12-16","2026-03-16","335000.00","Active","New market"
36,36,25,10,"2025-12-10","2026-03-10","435000.00","Active","Family choice"
37,37,31,3,"2025-01-08","2025-04-08","800000.00","Active","Good return"
38,38,13,9,"2025-07-15","2025-10-13","235000.00","Active","Affordable"
39,39,48,1,"2025-10-30","2026-01-28","3063000.00","Active","Prestige area"
40,40,22,6,"2025-10-30","2026-01-28","2765000.00","Active","Large property"
41,41,36,4,"2025-11-11","2026-02-09","517000.00","Active","Compact unit"
42,42,1,8,"2025-11-21","2026-02-19","150000.00","Active","Entry level"
43,43,29,13,"2025-12-16","2026-03-16","750000.00","Active","New development"
44,44,15,2,"2025-11-28","2026-02-26","1855000.00","Active","Luxury flat"
45,45,40,11,"2025-12-15","2026-03-15","163000.00","Active","Small unit"
46,46,6,5,"2025-11-05","2026-02-03","892000.00","Active","High demand"
47,47,24,7,"2025-11-12","2026-02-10","8108000.00","Active","Exclusive area"
48,48,33,10,"2025-12-16","2026-03-16","493000.00","Active","City living"
49,49,47,12,"2025-04-12","2025-07-11","258000.00","Active","Starter home"
50,50,38,9,"2025-12-15","2026-03-15","575000.00","Active","Well priced"
51,51,18,6,"2025-12-06","2026-03-06","549708.00","Active","New listing"
52,53,7,1,"2025-11-26","2026-02-24","538012.00","Active","Active sale"
53,54,44,4,"2025-12-18","2026-03-18","204678.00","Active","Budget unit"
54,55,2,11,"2025-12-11","2026-03-11","192982.00","Active","Good value"
55,56,31,8,"2025-12-18","2026-03-18","38596.00","Active","Fixer-upper"
56,57,9,3,"2025-12-13","2026-03-13","175439.00","Active","Central area"
57,58,27,12,"2025-12-14","2026-03-14","1350877.00","Active","Premium unit"
58,59,50,5,"2025-12-15","2026-03-15","174269.00","Active","Good ROI"
59,60,12,7,"2025-11-20","2026-02-18","62924.00","Active","Low price"
60,61,41,10,"2025-12-13","2026-03-13","69708.00","Active","Compact"
61,62,6,9,"2025-12-09","2026-03-09","172865.00","Active","New area"
62,63,28,2,"2025-12-08","2026-03-08","396491.00","Active","Modern unit"
63,64,14,11,"2025-12-08","2026-03-08","304094.00","Active","Quiet street"
64,65,3,6,"2025-12-06","2026-03-06","95906.00","Active","Affordable"
65,66,20,13,"2025-12-15","2026-03-15","54971.00","Active","Small unit"
66,67,45,4,"2025-11-27","2026-02-25","63158.00","Active","Investment"
67,68,8,8,"2025-12-15","2026-03-15","83041.00","Active","New build"
68,69,34,1,"2025-12-15","2026-03-15","147368.00","Active","Good demand"
69,70,16,5,"2025-12-16","2026-03-16","49123.00","Active","Entry market"
70,71,22,7,"2025-12-17","2026-03-17","65497.00","Active","Compact"
71,72,11,9,"2025-12-16","2026-03-16","257310.00","Active","Popular area"
72,73,29,12,"2025-12-10","2026-03-10","97895.00","Active","Low budget"
73,74,40,3,"2025-12-10","2026-03-10","53778.00","Active","Quick sale"
74,75,5,10,"2025-12-03","2026-03-03","64327.00","Active","Starter"
75,76,18,6,"2025-12-16","2026-03-16","76023.00","Active","Affordable"
76,77,24,2,"2025-12-14","2026-03-14","68538.00","Active","New listing"
77,78,32,11,"2025-12-10","2026-03-10","90058.00","Active","City unit"
78,79,13,8,"2025-11-28","2026-02-26","280702.00","Active","Well located"
